epoch,train/episode,stats_o/std,test/episode,test/success_rate,train/success_rate,stats_g/mean,stats_o/mean,stats_g/std,test/mean_Q
0,100.0,0.04702816,20.0,0.0,0.025,0.84372395,0.20336546,0.08991211,-2.8218293
1,200.0,0.049745284,40.0,0.07500000000000001,0.055,0.8473281,0.20435008,0.09121593,-4.467577
2,300.0,0.049355913,60.0,0.025,0.035,0.8476991,0.20449068,0.09250671,-6.1148806
3,400.0,0.049045652,80.0,0.0,0.045,0.84840375,0.2046147,0.09305987,-7.9930177
4,500.0,0.049571875,100.0,0.025,0.025,0.8479739,0.20462814,0.092196815,-9.69396
5,600.0,0.049003206,120.0,0.0,0.05500000000000001,0.8470855,0.20436224,0.091863476,-12.52678
6,700.0,0.05110392,140.0,0.025,0.03,0.84683347,0.20408781,0.09286102,-13.627179
7,800.0,0.053530246,160.0,0.1,0.035,0.84661645,0.20408812,0.09318853,-13.9888935
8,900.0,0.055672895,180.0,0.075,0.02,0.8461444,0.203719,0.09461683,-14.879019
9,1000.0,0.0580747,200.0,0.07500000000000001,0.05,0.84605557,0.20364946,0.095091335,-15.217035
10,1100.0,0.058135413,220.0,0.1,0.045,0.8461492,0.2037402,0.0953604,-17.532085
11,1200.0,0.06068735,240.0,0.0,0.05,0.8462913,0.20379514,0.095919736,-19.834923
12,1300.0,0.061212454,260.0,0.0,0.07500000000000001,0.8461423,0.20381837,0.09580212,-20.070492
13,1400.0,0.061804153,280.0,0.07500000000000001,0.045,0.84621763,0.20392947,0.09628973,-20.19325
14,1500.0,0.06273237,300.0,0.2,0.06,0.8464174,0.20410335,0.09595403,-19.395065
15,1600.0,0.06417825,320.0,0.05,0.07500000000000001,0.8461363,0.20407452,0.09630472,-21.921734
16,1700.0,0.0649323,340.0,0.075,0.05,0.8463981,0.20414054,0.09631445,-21.871658
17,1800.0,0.066644676,360.0,0.05,0.08,0.84601575,0.20399638,0.09725175,-22.673687
18,1900.0,0.068166696,380.0,0.05,0.02,0.84582233,0.20405355,0.098086916,-21.417427
19,2000.0,0.07004144,400.0,0.125,0.07500000000000001,0.84572154,0.20397659,0.09835514,-21.684002
20,2100.0,0.0709484,420.0,0.05,0.07,0.845843,0.20405155,0.0981519,-21.57331
21,2200.0,0.072715804,440.0,0.05,0.06,0.8460505,0.20415618,0.098489046,-23.014626
22,2300.0,0.07363139,460.0,0.32499999999999996,0.1,0.8460303,0.20422037,0.09840187,-17.84962
23,2400.0,0.07393239,480.0,0.15,0.11499999999999999,0.84603304,0.20420478,0.09838084,-22.402561
24,2500.0,0.075345814,500.0,0.125,0.11,0.84570485,0.20418732,0.09899416,-22.704285
25,2600.0,0.0766042,520.0,0.15000000000000002,0.085,0.84560007,0.2042153,0.09944884,-21.692245
26,2700.0,0.077707045,540.0,0.1,0.08499999999999999,0.845795,0.20426364,0.09941883,-23.649902
27,2800.0,0.07942703,560.0,0.175,0.11,0.8457646,0.20417255,0.099564455,-20.379906
28,2900.0,0.081019334,580.0,0.2,0.13,0.84589887,0.20430237,0.100040115,-19.677992
29,3000.0,0.082060166,600.0,0.3,0.11,0.8460248,0.20437764,0.1002369,-16.694822
30,3100.0,0.08335522,620.0,0.125,0.14,0.8459535,0.20443474,0.10045153,-23.585598
31,3200.0,0.08418005,640.0,0.175,0.19,0.84585446,0.20442685,0.10090607,-21.762299
32,3300.0,0.085207134,660.0,0.225,0.14500000000000002,0.8456967,0.20439051,0.10097762,-19.109325
33,3400.0,0.086441986,680.0,0.125,0.18,0.8457052,0.20440777,0.101217784,-24.755943
34,3500.0,0.08743436,700.0,0.25,0.17,0.8456815,0.204497,0.10162858,-17.352283
35,3600.0,0.08856317,720.0,0.175,0.22000000000000003,0.8456395,0.20441194,0.10150299,-23.277443
36,3700.0,0.08924171,740.0,0.4,0.185,0.8456869,0.204398,0.10166342,-18.072119
37,3800.0,0.090103455,760.0,0.3,0.185,0.84554577,0.20430681,0.10177366,-19.305841
38,3900.0,0.09107218,780.0,0.4,0.22999999999999998,0.8453645,0.20424521,0.101979375,-18.811121
39,4000.0,0.09203978,800.0,0.525,0.22,0.84528494,0.2042431,0.1023348,-16.11064
40,4100.0,0.09253685,820.0,0.35,0.245,0.84542227,0.20427501,0.10241532,-19.27361
41,4200.0,0.09340501,840.0,0.475,0.235,0.84541845,0.20430952,0.10241672,-16.924936
42,4300.0,0.09446924,860.0,0.325,0.28500000000000003,0.84550875,0.20434044,0.102327354,-20.066029
43,4400.0,0.09526651,880.0,0.525,0.20500000000000002,0.8455363,0.20430678,0.10256869,-14.470192
44,4500.0,0.095697746,900.0,0.375,0.265,0.84536046,0.20431319,0.102577455,-22.464195
45,4600.0,0.096534275,920.0,0.325,0.275,0.84544015,0.20433366,0.10253205,-21.950933
46,4700.0,0.0971337,940.0,0.47500000000000003,0.355,0.84540766,0.2043946,0.10253652,-17.014217
47,4800.0,0.098104805,960.0,0.5,0.305,0.8453675,0.2043545,0.102712475,-19.9536
48,4900.0,0.099091336,980.0,0.5,0.36,0.845341,0.20443088,0.10297074,-14.313007
49,5000.0,0.10016613,1000.0,0.425,0.345,0.8452766,0.20433488,0.103183664,-21.083902
50,5100.0,0.10126781,1020.0,0.32499999999999996,0.315,0.8452647,0.20429493,0.10330365,-20.762066
51,5200.0,0.102286614,1040.0,0.45,0.38,0.8450945,0.20434736,0.10355095,-21.077652
52,5300.0,0.103524454,1060.0,0.4,0.33499999999999996,0.84495574,0.2044027,0.10387882,-21.110497
53,5400.0,0.1045047,1080.0,0.675,0.405,0.84480715,0.2044382,0.10392357,-12.728022
54,5500.0,0.105066925,1100.0,0.55,0.425,0.84473896,0.20447409,0.10378587,-15.990103
55,5600.0,0.10559905,1120.0,0.5,0.375,0.84489805,0.20456156,0.10383532,-15.821989
56,5700.0,0.10638353,1140.0,0.6499999999999999,0.395,0.84486514,0.20450021,0.103929035,-13.027716
57,5800.0,0.106914885,1160.0,0.525,0.36,0.84483814,0.20450431,0.104041316,-17.787498
58,5900.0,0.10742388,1180.0,0.6,0.41500000000000004,0.84490806,0.204506,0.104061075,-13.790343
59,6000.0,0.10797384,1200.0,0.525,0.44,0.84503216,0.2045547,0.10405447,-15.687407
60,6100.0,0.108414955,1220.0,0.625,0.405,0.84506553,0.20464794,0.10410378,-12.900855
61,6200.0,0.1088134,1240.0,0.6499999999999999,0.44999999999999996,0.8451372,0.20468935,0.10429645,-12.325345
62,6300.0,0.10924294,1260.0,0.7250000000000001,0.44,0.84525114,0.20468806,0.1042834,-11.078516
63,6400.0,0.10979907,1280.0,0.825,0.44,0.845254,0.20463163,0.1044381,-7.2597494
64,6500.0,0.11007851,1300.0,0.625,0.395,0.8452559,0.20465325,0.10440552,-11.080303
65,6600.0,0.1105612,1320.0,0.6000000000000001,0.37,0.8452468,0.20461594,0.104635775,-14.435308
66,6700.0,0.111123465,1340.0,0.575,0.44499999999999995,0.8452806,0.20464732,0.10478293,-10.910929
67,6800.0,0.11169663,1360.0,0.55,0.45999999999999996,0.8452704,0.2046431,0.105226524,-13.658472
68,6900.0,0.11207537,1380.0,0.625,0.45499999999999996,0.8452237,0.20461237,0.10545597,-11.323105
69,7000.0,0.112464085,1400.0,0.7,0.485,0.8452135,0.20464557,0.10575601,-10.56316
70,7100.0,0.112837076,1420.0,0.6,0.48,0.8451402,0.20464896,0.10587608,-12.125352
71,7200.0,0.113200895,1440.0,0.65,0.515,0.8451912,0.20467357,0.106015116,-8.5020275
72,7300.0,0.113231555,1460.0,0.7,0.43,0.84520036,0.2046661,0.105920136,-7.7541285
73,7400.0,0.113431826,1480.0,0.625,0.5,0.84510535,0.20463625,0.10606924,-7.6959457
74,7500.0,0.11357631,1500.0,0.725,0.495,0.845069,0.20461783,0.106107414,-5.9313307
75,7600.0,0.113692015,1520.0,0.75,0.5,0.8450673,0.20461825,0.10598571,-7.3575487
