stats_o/mean,test/episode,train/success_rate,stats_g/std,test/mean_Q,test/success_rate,epoch,stats_g/mean,train/episode,stats_o/std
0.20658766,20.0,0.03,0.092744015,-2.6142528,0.0,0,0.8527794,100.0,0.047787532
0.20556952,40.0,0.02,0.091636725,-4.7147336,0.07500000000000001,1,0.849319,200.0,0.04874337
0.20451383,60.0,0.04,0.09159651,-6.7495995,0.025,2,0.8463405,300.0,0.046652883
0.20478243,80.0,0.035,0.091257185,-8.659225,0.025,3,0.8469159,400.0,0.047592413
0.20417248,100.0,0.07,0.09260125,-10.815598,0.0,4,0.84571856,500.0,0.049297113
0.20426482,120.0,0.03,0.09343987,-11.67652,0.1,5,0.8455622,600.0,0.05032216
0.20403063,140.0,0.05,0.09340465,-13.709484,0.025,6,0.8451514,700.0,0.05087454
0.20401391,160.0,0.025,0.09435413,-15.314245,0.1,7,0.8453031,800.0,0.05150602
0.20397726,180.0,0.035,0.09476953,-16.03722,0.075,8,0.8449252,900.0,0.054092716
0.20413792,200.0,0.025,0.09483088,-17.00319,0.07500000000000001,9,0.8453198,1000.0,0.05552204
0.2040762,220.0,0.045000000000000005,0.09526444,-17.633963,0.1,10,0.8451821,1100.0,0.057098206
0.2040576,240.0,0.07,0.09549198,-20.753185,0.1,11,0.8453345,1200.0,0.05749208
0.20418258,260.0,0.035,0.09667476,-19.807621,0.1,12,0.84538656,1300.0,0.059742175
0.20410688,280.0,0.055,0.097602285,-20.80126,0.07500000000000001,13,0.8455203,1400.0,0.06297228
0.20427662,300.0,0.08499999999999999,0.098057814,-18.58142,0.2,14,0.84563357,1500.0,0.06561442
0.20412059,320.0,0.08499999999999999,0.09846687,-18.074472,0.05,15,0.8453888,1600.0,0.067602426
0.2039722,340.0,0.075,0.09865457,-19.942707,0.075,16,0.84523803,1700.0,0.06886982
0.20405456,360.0,0.1,0.09859502,-20.406002,0.2,17,0.8453626,1800.0,0.070291035
0.20409967,380.0,0.1,0.09853972,-19.27583,0.2,18,0.8453105,1900.0,0.07111847
0.20419352,400.0,0.07,0.09865284,-16.74117,0.125,19,0.8454583,2000.0,0.071918376
0.20414272,420.0,0.1,0.09896771,-21.054039,0.05,20,0.8451431,2100.0,0.07338374
0.20415165,440.0,0.10500000000000001,0.09873217,-16.110723,0.05,21,0.84536314,2200.0,0.075203
0.2041632,460.0,0.11499999999999999,0.09876576,-22.527838,0.32499999999999996,22,0.8454468,2300.0,0.07651571
0.20419106,480.0,0.12,0.09891171,-21.816807,0.15,23,0.84544706,2400.0,0.07796702
0.20431478,500.0,0.12,0.099780895,-19.84761,0.125,24,0.8455863,2500.0,0.08015135
