stats_o/std,train/success_rate,stats_g/mean,test/mean_Q,train/episode,stats_g/std,stats_o/mean,epoch,test/success_rate,test/episode
0.056562208,0.04,0.8377852,-2.5368946,100.0,0.0821242,0.20221108,0,0.1,20.0
0.053352565,0.12,0.8375183,-4.7316275,200.0,0.07718476,0.20082752,1,0.0,40.0
0.05360755,0.05,0.83727866,-5.7396593,300.0,0.07658509,0.20072392,2,0.1,60.0
0.05225447,0.09,0.83899164,-7.851738,400.0,0.07711949,0.20136079,3,0.05,80.0
0.05276625,0.08,0.8402718,-10.377006,500.0,0.07856765,0.20170881,4,0.0,100.0
0.05360738,0.04,0.84016794,-10.706732,600.0,0.077542156,0.20137939,5,0.1,120.0
0.05547677,0.04,0.83916426,-10.410762,700.0,0.07794711,0.20145416,6,0.2,140.0
0.057392072,0.1,0.83882874,-12.473049,800.0,0.07970365,0.20154649,7,0.1,160.0
0.057759035,0.09,0.8383787,-15.153694,900.0,0.08032478,0.20156144,8,0.1,180.0
0.05826613,0.06,0.8379101,-16.005766,1000.0,0.080194525,0.20124592,9,0.05,200.0
0.057827912,0.05,0.83818513,-14.310614,1100.0,0.07948668,0.20133579,10,0.15,220.0
0.0577764,0.07,0.83782357,-19.761974,1200.0,0.0796434,0.20126194,11,0.0,240.0
0.058015548,0.05,0.83790135,-20.407925,1300.0,0.080111325,0.2014515,12,0.0,260.0
0.057874523,0.05,0.83754426,-20.802296,1400.0,0.08062427,0.20132466,13,0.05,280.0
0.057406425,0.05,0.8373706,-21.350529,1500.0,0.080218546,0.20131144,14,0.05,300.0
0.057522755,0.06,0.8376259,-22.38656,1600.0,0.08019755,0.20136806,15,0.1,320.0
0.057626143,0.04,0.83800954,-19.583815,1700.0,0.080448225,0.20146886,16,0.1,340.0
0.058690026,0.12,0.8379521,-23.952915,1800.0,0.08070383,0.20157246,17,0.1,360.0
0.05883782,0.1,0.8377028,-21.255743,1900.0,0.08032429,0.20152456,18,0.2,380.0
0.05860724,0.1,0.8375825,-21.837896,2000.0,0.079904296,0.2014812,19,0.1,400.0
0.059324473,0.04,0.8378832,-26.884436,2100.0,0.08002726,0.20149095,20,0.0,420.0
0.060001288,0.07,0.8378308,-22.579086,2200.0,0.07990392,0.20146109,21,0.2,440.0
0.060708202,0.07,0.83749217,-23.362225,2300.0,0.080023505,0.20135792,22,0.1,460.0
0.061485033,0.11,0.8371772,-23.33139,2400.0,0.0798134,0.20120853,23,0.15,480.0
0.06173541,0.08,0.8372089,-26.129309,2500.0,0.07965836,0.20121141,24,0.05,500.0
0.061759222,0.04,0.8373892,-23.730862,2600.0,0.07980684,0.20125674,25,0.15,520.0
0.06295977,0.15,0.8372975,-32.229977,2700.0,0.07986572,0.20125566,26,0.0,540.0
0.06349705,0.09,0.8372896,-21.261343,2800.0,0.079800256,0.20120174,27,0.0,560.0
0.06411614,0.07,0.83713955,-24.607204,2900.0,0.07990155,0.20119649,28,0.1,580.0
0.064194575,0.1,0.8371405,-27.768091,3000.0,0.07992465,0.20121607,29,0.0,600.0
0.06429387,0.09,0.83707094,-21.85264,3100.0,0.07995678,0.20117304,30,0.15,620.0
0.064135045,0.09,0.8372651,-26.791195,3200.0,0.079731114,0.20122465,31,0.1,640.0
0.06478159,0.11,0.83751386,-25.826101,3300.0,0.07953192,0.20126848,32,0.05,660.0
0.065322764,0.1,0.8377368,-24.09742,3400.0,0.07967609,0.2013492,33,0.15,680.0
0.0658502,0.16,0.83776456,-20.861431,3500.0,0.079566784,0.20134598,34,0.1,700.0
0.065829314,0.14,0.83795756,-24.464573,3600.0,0.079337366,0.20141867,35,0.2,720.0
0.065930136,0.12,0.83808875,-22.95227,3700.0,0.079191744,0.20143345,36,0.15,740.0
0.066065446,0.09,0.83827657,-20.397917,3800.0,0.07900127,0.20146035,37,0.15,760.0
0.06655781,0.1,0.83836466,-15.020645,3900.0,0.07893228,0.20147331,38,0.3,780.0
0.06692649,0.17,0.8383457,-14.886813,4000.0,0.07875759,0.20147657,39,0.45,800.0
0.06742341,0.2,0.8383096,-17.561245,4100.0,0.07888245,0.20144872,40,0.1,820.0
0.068214685,0.12,0.83833295,-19.082617,4200.0,0.07915432,0.20144366,41,0.2,840.0
0.06848426,0.11,0.83841306,-17.116135,4300.0,0.079157285,0.20148994,42,0.25,860.0
0.06896129,0.11,0.8384636,-21.456573,4400.0,0.07901161,0.20144103,43,0.1,880.0
0.0695462,0.13,0.8385897,-15.587771,4500.0,0.07900453,0.20148836,44,0.1,900.0
0.06981017,0.17,0.83877414,-14.974876,4600.0,0.0789197,0.20156461,45,0.35,920.0
0.069956936,0.2,0.83888125,-16.336477,4700.0,0.078889586,0.20158482,46,0.3,940.0
0.07022266,0.27,0.8389354,-13.650098,4800.0,0.07866239,0.20159093,47,0.35,960.0
0.07031559,0.28,0.83900076,-12.045643,4900.0,0.078468174,0.20158911,48,0.3,980.0
0.070401914,0.3,0.839112,-17.427948,5000.0,0.07828196,0.2015963,49,0.25,1000.0
0.07031067,0.27,0.83930916,-21.534374,5100.0,0.07808947,0.20160428,50,0.2,1020.0
0.070217475,0.26,0.8394518,-17.413946,5200.0,0.077921845,0.20162018,51,0.35,1040.0
0.07034012,0.23,0.83956116,-14.83723,5300.0,0.0777563,0.2016254,52,0.3,1060.0
0.070389345,0.25,0.8397091,-12.138419,5400.0,0.07757076,0.20163506,53,0.35,1080.0
0.07079819,0.28,0.83974856,-12.265543,5500.0,0.077528276,0.20164876,54,0.45,1100.0
0.07105212,0.32,0.8399522,-11.461554,5600.0,0.07739212,0.20172386,55,0.35,1120.0
0.07135959,0.29,0.840065,-13.556478,5700.0,0.077379264,0.20172322,56,0.35,1140.0
0.071898535,0.25,0.84027654,-15.081886,5800.0,0.07725804,0.20180945,57,0.25,1160.0
0.07211618,0.26,0.84037614,-14.554248,5900.0,0.07710139,0.2018677,58,0.4,1180.0
0.07249248,0.29,0.8404557,-13.951662,6000.0,0.07696163,0.20193677,59,0.35,1200.0
0.073076054,0.33,0.84071517,-21.342596,6100.0,0.07682914,0.20204055,60,0.15,1220.0
0.07349799,0.27,0.8409596,-11.327696,6200.0,0.07671037,0.20210734,61,0.5,1240.0
0.07402137,0.35,0.8409824,-14.501978,6300.0,0.07682393,0.20212188,62,0.2,1260.0
0.07411418,0.44,0.8410096,-15.626529,6400.0,0.076642804,0.20214252,63,0.3,1280.0
0.07479484,0.37,0.84114033,-9.360334,6500.0,0.07653878,0.20210557,64,0.5,1300.0
0.07542166,0.43,0.84128547,-11.83075,6600.0,0.076396085,0.2021224,65,0.5,1320.0
0.075968035,0.41,0.84143186,-12.002464,6700.0,0.07625024,0.20212911,66,0.35,1340.0
0.07627598,0.41,0.84149224,-12.204983,6800.0,0.07628497,0.20213911,67,0.25,1360.0
0.077203594,0.49,0.8415962,-9.0333805,6900.0,0.07610537,0.20212689,68,0.65,1380.0
0.0778793,0.4,0.8417395,-8.832621,7000.0,0.07611889,0.2021167,69,0.7,1400.0
0.07892253,0.47,0.84177524,-11.100287,7100.0,0.07631632,0.2021991,70,0.6,1420.0
0.07965142,0.53,0.8418491,-9.28814,7200.0,0.07651459,0.20226525,71,0.5,1440.0
0.079942934,0.57,0.84193915,-5.864409,7300.0,0.07655569,0.202278,72,0.6,1460.0
0.08043636,0.59,0.84203464,-5.9892917,7400.0,0.076539315,0.20226845,73,0.65,1480.0
0.08085454,0.53,0.842102,-11.448967,7500.0,0.076430716,0.20225476,74,0.55,1500.0
0.08145805,0.49,0.8421395,-7.5686617,7600.0,0.07647597,0.20226297,75,0.6,1520.0
0.08213604,0.5,0.84221035,-8.898354,7700.0,0.07644362,0.20227425,76,0.55,1540.0
