test/success_rate,train/episode,train/success_rate,test/episode,stats_o/std,stats_g/std,epoch,stats_o/mean,test/mean_Q,stats_g/mean
0.1,100.0,0.035,20.0,0.046388015,0.071096465,0,0.20198597,-2.5827913,0.8408806
0.0,200.0,0.045,40.0,0.048734352,0.070796266,1,0.20240387,-4.3515263,0.84110594
0.1,300.0,0.05,60.0,0.046440344,0.07043298,2,0.20237917,-6.2320046,0.8414254
0.05,400.0,0.075,80.0,0.04813567,0.07038944,3,0.20158565,-8.302298,0.83949065
0.2,500.0,0.06,100.0,0.049102772,0.0704342,4,0.20167223,-9.806522,0.8392403
0.1,600.0,0.1,120.0,0.047849294,0.070454724,5,0.20121643,-11.212068,0.8379989
0.0,700.0,0.060000000000000005,140.0,0.049118727,0.070701934,6,0.20084429,-13.075346,0.83763975
0.1,800.0,0.065,160.0,0.049845647,0.07101595,7,0.20085031,-15.050482,0.837298
0.0,900.0,0.09,180.0,0.052336007,0.07282788,8,0.20090374,-15.743027,0.8375123
0.05,1000.0,0.08499999999999999,200.0,0.052373953,0.07258942,9,0.20097485,-15.049622,0.83759904
0.15,1100.0,0.055,220.0,0.052698925,0.07280506,10,0.2009545,-18.073734,0.83762646
0.0,1200.0,0.045,240.0,0.052378435,0.07252457,11,0.20093328,-19.91255,0.8375545
0.25,1300.0,0.08,260.0,0.052905437,0.07234621,12,0.20101832,-19.90939,0.8377647
0.05,1400.0,0.07,280.0,0.053459357,0.07279566,13,0.20105764,-21.221512,0.8378152
0.05,1500.0,0.07,300.0,0.053953458,0.07262925,14,0.20099254,-19.089378,0.83759004
0.1,1600.0,0.095,320.0,0.054106496,0.072846845,15,0.20098507,-21.93256,0.83759004
0.15,1700.0,0.09,340.0,0.054605342,0.07278807,16,0.20105062,-20.502344,0.83760095
0.15,1800.0,0.07500000000000001,360.0,0.054534335,0.07260535,17,0.20113999,-23.622807,0.8378439
0.25,1900.0,0.09,380.0,0.05461429,0.07293468,18,0.20113304,-22.817228,0.837943
0.1,2000.0,0.060000000000000005,400.0,0.05511271,0.07338439,19,0.20111963,-24.088032,0.8378466
0.0,2100.0,0.135,420.0,0.055454377,0.07320478,20,0.20100611,-27.90165,0.83768034
0.2,2200.0,0.11000000000000001,440.0,0.055855695,0.073570326,21,0.20097506,-28.1173,0.83783865
0.25,2300.0,0.08,460.0,0.056241848,0.07387207,22,0.20102519,-25.844837,0.8379068
0.15,2400.0,0.060000000000000005,480.0,0.056371927,0.07392544,23,0.20101888,-28.411064,0.8378086
