stats_g/std,stats_g/mean,epoch,stats_o/std,train/episode,test/episode,train/success_rate,test/success_rate,stats_o/mean,test/mean_Q
0.14897116,0.74083906,0,0.06848808,20.0,20.0,0.025,0.0,0.16879621,-1.5025156
0.1483296,0.73452324,1,0.06752243,40.0,40.0,0.0,0.0,0.1665675,-1.927722
0.13794897,0.7389701,2,0.06536035,60.0,60.0,0.0,0.0,0.16865452,-2.3266926
0.13250361,0.7414704,3,0.06380434,80.0,80.0,0.0,0.0,0.16846107,-2.8060627
0.12764949,0.74142885,4,0.06317224,100.0,100.0,0.0,0.0,0.16907243,-3.149972
0.12484965,0.7428495,5,0.062408283,120.0,120.0,0.0,0.0,0.16879854,-3.6098475
0.12276103,0.74265575,6,0.06226887,140.0,140.0,0.0,0.025,0.16989845,-3.9700015
0.11989526,0.7424145,7,0.06221962,160.0,160.0,0.0,0.0,0.17067358,-4.087839
0.12102602,0.7426694,8,0.06254883,180.0,180.0,0.025,0.0,0.17082062,-4.805291
0.12011594,0.7425218,9,0.062300652,200.0,200.0,0.0,0.0,0.17063123,-5.4023123
0.11879387,0.74257666,10,0.061936088,220.0,220.0,0.0,0.0,0.17055272,-5.6414742
0.120383926,0.7420978,11,0.06312346,240.0,240.0,0.0,0.025,0.17044489,-5.863189
0.11922815,0.74283785,12,0.062780544,260.0,260.0,0.0,0.0,0.1703242,-6.541815
0.11850474,0.7435906,13,0.06252213,280.0,280.0,0.0,0.0,0.16995148,-6.9203415
0.12047931,0.7427594,14,0.06419341,300.0,300.0,0.0,0.0,0.16976841,-6.897533
0.11981142,0.7422891,15,0.06436693,320.0,320.0,0.0,0.0,0.17001267,-7.44831
0.11929553,0.7426073,16,0.06415317,340.0,340.0,0.0,0.0,0.17029898,-8.008272
0.11911538,0.742891,17,0.06397304,360.0,360.0,0.0,0.0,0.17029089,-8.446611
0.11862061,0.7423958,18,0.063788995,380.0,380.0,0.0,0.0,0.17043312,-8.79229
0.11897484,0.74241227,19,0.063675255,400.0,400.0,0.0,0.0,0.17044678,-9.111307
0.12070174,0.74281335,20,0.06418144,420.0,420.0,0.05,0.025,0.17079253,-8.94273
0.12035703,0.7428538,21,0.06395324,440.0,440.0,0.0,0.0,0.17070906,-10.073191
0.12027251,0.7431402,22,0.0649014,460.0,460.0,0.0,0.0,0.17068058,-10.229631
0.1210663,0.7440333,23,0.06487929,480.0,480.0,0.0,0.05,0.17063284,-9.553658
0.12039819,0.7438326,24,0.06471393,500.0,500.0,0.0,0.025,0.17077914,-10.895056
0.1216791,0.74425554,25,0.065078676,520.0,520.0,0.0,0.0,0.17085142,-11.152143
0.122611634,0.7443402,26,0.0663282,540.0,540.0,0.0,0.025,0.1708558,-11.213308
0.12279595,0.7443184,27,0.06621912,560.0,560.0,0.0,0.0,0.1708991,-11.826387
0.12469383,0.7442515,28,0.06679245,580.0,580.0,0.0,0.0,0.1709928,-12.157003
0.12462815,0.74454194,29,0.06672775,600.0,600.0,0.0,0.0,0.17109178,-12.635542
0.12652208,0.74448377,30,0.067202665,620.0,620.0,0.0,0.0,0.17126594,-12.082125
0.12642655,0.7449158,31,0.06733567,640.0,640.0,0.0,0.0,0.17145985,-12.601038
0.12725277,0.7455235,32,0.06763562,660.0,660.0,0.0,0.0,0.17153884,-12.918133
0.12963836,0.7454126,33,0.068177894,680.0,680.0,0.0,0.025,0.17153278,-13.126835
0.13091332,0.7461133,34,0.068449266,700.0,700.0,0.0,0.025,0.17170782,-13.991701
0.13142474,0.7466218,35,0.068536766,720.0,720.0,0.0,0.025,0.17180958,-13.65197
0.13167761,0.7469134,36,0.068580456,740.0,740.0,0.0,0.0,0.1718584,-14.239449
0.13253807,0.7472157,37,0.068745546,760.0,760.0,0.025,0.0,0.17180145,-14.205725
0.13240366,0.7472345,38,0.06902453,780.0,780.0,0.0,0.025,0.17188291,-14.147842
0.13302617,0.7472422,39,0.06911309,800.0,800.0,0.0,0.0,0.17178679,-15.640545
0.13394797,0.74748737,40,0.06946868,820.0,820.0,0.0,0.025,0.17182492,-15.156571
0.13501011,0.7482734,41,0.0698907,840.0,840.0,0.0,0.0,0.17202784,-16.569742
0.1372966,0.7481896,42,0.07048709,860.0,860.0,0.025,0.0,0.17198241,-15.311424
0.13943616,0.748358,43,0.07099025,880.0,880.0,0.0,0.0,0.17211685,-16.115889
0.14078397,0.7491017,44,0.071482815,900.0,900.0,0.0,0.025,0.17233238,-16.03746
0.14121519,0.74899405,45,0.07229976,920.0,920.0,0.025,0.075,0.17228933,-15.688464
0.1418334,0.7493139,46,0.07279298,940.0,940.0,0.025,0.05,0.17230368,-16.290592
0.14223468,0.7495713,47,0.07310412,960.0,960.0,0.025,0.05,0.17239395,-15.779046
0.14320946,0.74962264,48,0.07412963,980.0,980.0,0.0,0.0,0.17250183,-16.029716
0.14364308,0.74948686,49,0.07456191,1000.0,1000.0,0.0,0.025,0.17243816,-17.43921
0.14362192,0.7498463,50,0.07452787,1020.0,1020.0,0.025,0.05,0.17266539,-15.617378
0.14398722,0.74974394,51,0.07460669,1040.0,1040.0,0.0,0.0,0.17271149,-17.667183
0.14456615,0.7499047,52,0.07546112,1060.0,1060.0,0.0,0.0,0.17277062,-17.28489
0.14509204,0.7499376,53,0.076038025,1080.0,1080.0,0.0,0.025,0.17284283,-16.995058
0.14648183,0.7499003,54,0.07679656,1100.0,1100.0,0.05,0.05,0.17273666,-17.347233
0.14686163,0.7501833,55,0.077208,1120.0,1120.0,0.0,0.0,0.17282446,-17.874466
0.14719969,0.75034136,56,0.07762,1140.0,1140.0,0.0,0.025,0.17283863,-18.220676
0.14718233,0.75051755,57,0.07750794,1160.0,1160.0,0.0,0.025,0.17284797,-20.278751
0.14799328,0.7508871,58,0.07830178,1180.0,1180.0,0.025,0.0,0.17296538,-18.503529
0.14824776,0.7513153,59,0.0783254,1200.0,1200.0,0.05,0.075,0.17304678,-17.489174
0.14841853,0.75206965,60,0.078475416,1220.0,1220.0,0.025,0.025,0.17317984,-17.761236
0.14903654,0.75232536,61,0.07858059,1240.0,1240.0,0.05,0.0,0.17319411,-18.935566
0.14969294,0.7526982,62,0.078948304,1260.0,1260.0,0.025,0.05,0.17333885,-18.126263
0.15034278,0.7531366,63,0.079801664,1280.0,1280.0,0.0,0.07500000000000001,0.17347318,-18.669445
0.15064572,0.75392014,64,0.08011515,1300.0,1300.0,0.05,0.05,0.17363758,-15.944456
0.15111506,0.75419337,65,0.08053092,1320.0,1320.0,0.05,0.125,0.17369945,-16.497833
0.15130474,0.75478595,66,0.08097959,1340.0,1340.0,0.05,0.05,0.1737462,-18.785072
0.15216441,0.75536203,67,0.081336394,1360.0,1360.0,0.025,0.025,0.17390938,-18.880775
0.15222074,0.7552789,68,0.08141006,1380.0,1380.0,0.0,0.0,0.17399003,-19.29824
0.1527348,0.7554057,69,0.08186498,1400.0,1400.0,0.025,0.15000000000000002,0.17406525,-18.251564
0.15322061,0.7552512,70,0.08199307,1420.0,1420.0,0.07500000000000001,0.05,0.17413001,-19.319307
0.15381695,0.7552945,71,0.08236728,1440.0,1440.0,0.0,0.025,0.17416577,-21.29493
0.15448835,0.75545615,72,0.082997836,1460.0,1460.0,0.05,0.0,0.17418362,-20.8439
