epoch,stats_o/std,stats_o/mean,test/episode,stats_g/std,test/success_rate,train/success_rate,stats_g/mean,test/mean_Q,train/episode
0,0.058588073,0.1714134,20.0,0.10214115,0.0,0.0,0.74508667,-1.4257967,20.0
1,0.057862196,0.16898495,40.0,0.10704997,0.0,0.0,0.7450321,-1.9005408,40.0
2,0.062424164,0.16842774,60.0,0.11520177,0.025,0.0,0.74504477,-2.2993617,60.0
3,0.062710494,0.16886324,80.0,0.11947251,0.025,0.0,0.74488443,-2.6994128,80.0
4,0.06450994,0.16962662,100.0,0.12160673,0.0,0.0,0.7431049,-3.095222,100.0
5,0.06397699,0.169599,120.0,0.11915939,0.05,0.0,0.7447235,-3.527192,120.0
6,0.06457314,0.17001967,140.0,0.11969332,0.025,0.0,0.74298906,-3.7745469,140.0
7,0.064357325,0.17052495,160.0,0.11965409,0.0,0.0,0.7409951,-4.1510277,160.0
8,0.06576583,0.17018168,180.0,0.12253624,0.05,0.0,0.741234,-4.7550316,180.0
9,0.065317705,0.17035507,200.0,0.12205044,0.0,0.0,0.74116355,-5.0315475,200.0
10,0.06522775,0.17017151,220.0,0.12389451,0.0,0.0,0.7407155,-5.6051364,220.0
11,0.06537963,0.1698573,240.0,0.12421489,0.025,0.0,0.7427986,-5.918892,240.0
12,0.06527687,0.17013188,260.0,0.1244882,0.0,0.0,0.74328846,-6.3393908,260.0
13,0.065149695,0.17033708,280.0,0.12395384,0.0,0.0,0.74310416,-6.6089764,280.0
14,0.06543431,0.17041832,300.0,0.12380621,0.025,0.0,0.7440124,-6.53775,300.0
15,0.0667528,0.17031649,320.0,0.12648678,0.1,0.0,0.7430868,-7.185649,320.0
16,0.066589355,0.1706784,340.0,0.12566166,0.05,0.0,0.74324185,-7.637616,340.0
17,0.06684319,0.1706654,360.0,0.12687102,0.05,0.0,0.74342823,-8.142784,360.0
18,0.06687839,0.17072052,380.0,0.12893777,0.0,0.0,0.7438223,-8.749841,380.0
19,0.06748778,0.1707498,400.0,0.12850378,0.025,0.0,0.7433298,-9.013504,400.0
20,0.06777939,0.17073534,420.0,0.12991941,0.05,0.05,0.7436194,-9.146761,420.0
21,0.067980364,0.17095512,440.0,0.13009793,0.0,0.0,0.74447227,-9.462738,440.0
22,0.0698975,0.17105274,460.0,0.132893,0.05,0.0,0.7457416,-9.668109,460.0
23,0.07013748,0.17118487,480.0,0.1345952,0.025,0.025,0.74634236,-9.9005785,480.0
24,0.07049134,0.17147757,500.0,0.13610847,0.025,0.0,0.74711156,-10.602665,500.0
25,0.07043237,0.171375,520.0,0.13624476,0.0,0.0,0.7471209,-10.85902,520.0
